metric,lga,data
unemployment,Bathurst,0.022
unemployment,Blayney,0.019
unemployment,Cabonne,0.014
unemployment,Cowra,0.038
unemployment,Forbes,0.026
unemployment,Lachlan,0.034
unemployment,Lithgow,0.031
unemployment,Mid-Western,0.025
unemployment,Oberon,0.017
unemployment,Orange,0.023
unemployment,Parkes,0.033
unemployment,Weddin,0.021
Early education,Bathurst,0.504950495
Early education,Blayney,0.142857143
Early education,Cabonne,0.166666667
Early education,Cowra,0.2
Early education,Forbes,0.25
Early education,Lachlan,0.666666667
Early education,Lithgow,0.375
Early education,Mid-Western,0.307692308
Early education,Oberon,0
Early education,Orange,0.448275862
Early education,Parkes,0.285714286
Early education,Weddin,1
