"","geography","week_ending","median_asking_price","median_change"
"1","Bathurst",2023-01-10,706.96,0.184
"2","Blayney",2023-01-10,553.9,0.266
"3","Cabonne",2023-01-10,517.244,0.6
"4","Cowra",2023-01-10,316.1575,0.26
"5","Forbes",2023-01-10,463.883,0.077
"6","Lachlan",2023-01-10,256.279,0.173
"7","Lithgow",2023-01-10,573.2625,0.0665
"8","Mid-Western",2023-01-10,699.39,0.0915
"9","Oberon",2023-01-10,592.23,0.148
"10","Orange",2023-01-10,731.777,0.079
"11","Parkes",2023-01-10,368.296,0.752
"12","Weddin",2023-01-10,253.573,0.027
"13","central_west",2023-01-10,444.381,0.173
"14","nsw",2023-01-10,829.0205,0.0625
