"","name","address","vacancy","postcode","lga"
"1","Wilcox Street Early Education Centre","ALBURY NSW 2640","Vacancy","2640","Albury"
"2","Albury TAFE Child Care Centre","ALBURY NSW 2640","No Vacancy","2640","Albury"
"3","Goodstart Early Learning Albury - Banff Avenue 1","ALBURY NSW 2640","Vacancy","2640","Albury"
"4","West Albury Preschool Centre","ALBURY NSW 2640",NA,"2640","Albury"
"5","Albury Preschool","ALBURY NSW 2640",NA,"2640","Albury"
"6","AlburyCity - St Pats OOSH","ALBURY NSW 2640","Vacancy","2640","Albury"
"7","AlburyCity - Albury OOSH","ALBURY NSW 2640","Vacancy","2640","Albury"
"8","Lots of Tots Early Learning Centre","ALBURY NSW 2640","No Vacancy","2640","Albury"
"9","Goodstart Early Learning Albury - Pemberton Street","ALBURY NSW 2640","Vacancy","2640","Albury"
"10","Scots Pre-School","ALBURY NSW 2640",NA,"2640","Albury"
"11","Guardian Childcare & Education Kinfolk Albury","ALBURY NSW 2640","No Vacancy","2640","Albury"
"12","The Scots School TheirCare","ALBURY NSW 2640","Vacancy","2640","Albury"
"13","Kiewa Kids","SOUTH ALBURY NSW 2640","No Vacancy","2640","Albury"
"14","Albury Occasional Child Care and Early Learning Centre","ALBURY NSW 2640","Vacancy","2640","Albury"
"15","Koori Kindermanna Preschool","GLENROY NSW 2640",NA,"2640","Albury"
"16","Yarrunga Early Learning Centre Inc.","ALBURY NSW 2640","Vacancy","2640","Albury"
"17","GREEN LEAVES EARLY LEARNING ALBURY","NORTH ALBURY NSW 2640","Vacancy","2640","Albury"
"18","AlburyCity - Albury North OOSH","ALBURY NSW 2640","Vacancy","2640","Albury"
"19","Family Friend Home Support","NORTH ALBURY NSW 2640","No Vacancy","2640","Albury"
"20","Family Friend Home Support - Victoria","NORTH ALBURY NSW 2640","No Vacancy","2640","Albury"
"21","Family Friend Outside School Hours Care","ALBURY NSW 2640","No Vacancy","2640","Albury"
"22","Woodlands Childcare Centre","ALBURY NSW 2640","No Vacancy","2640","Albury"
"23","Greater Hume Children Services","LAVINGTON NSW 2641","No Vacancy","2641","Albury"
"24","Moresby Park Preschool","NORTH ALBURY NSW 2640",NA,"2640","Albury"
"25","Kidscape Early Learning Centre","EAST ALBURY NSW 2640","Vacancy","2640","Albury"
"26","Lavington Occasional Child Care Centre","LAVINGTON NSW 2641","No Vacancy","2641","Albury"
"27","Ross Circuit Preschool Centre","LAVINGTON NSW 2641",NA,"2641","Albury"
"28","Hume Public School Preschool","LAVINGTON NSW 2641",NA,"2641","Albury"
