"","X","geography","month","vacancy_rate"
"1",1,"Bathurst","01-02-2021",1.28566011159868
"2",2,"Bathurst","01-03-2021",1.41908376253727
"3",3,"Bathurst","01-04-2021",1.21164121619789
"4",4,"Bathurst","01-05-2021",1.19361580847425
"5",5,"Bathurst","01-06-2021",1.17533948940793
"6",6,"Bathurst","01-07-2021",0.682974559686888
"7",7,"Bathurst","01-08-2021",0.588452856870904
"8",8,"Bathurst","01-09-2021",0.531809523809524
"9",9,"Bathurst","01-10-2021",0.646261096890147
"10",10,"Bathurst","01-11-2021",0.836816435519468
"11",11,"Bathurst","01-12-2021",0.780356120306492
"12",12,"Bathurst","01-01-2022",0.647495361781076
"13",13,"Bathurst","01-02-2022",0.705166011358671
"14",14,"Bathurst","01-03-2022",0.533945305029642
"15",15,"Bathurst","01-04-2022",0.477101845522898
"16",16,"Bathurst","01-05-2022",0.687421349236746
"17",17,"Bathurst","01-06-2022",0.783496687291245
"18",18,"Bathurst","01-07-2022",0.783947404465142
"19",19,"Bathurst","01-08-2022",0.593195712366697
"20",20,"Bathurst","01-09-2022",0.536098310291858
"21",21,"Bathurst","01-10-2022",0.708960140551224
"22",22,"Bathurst","01-11-2022",0.594336254017085
"23",23,"Bathurst","01-12-2022",1.36226944116111
"24",24,"Bathurst","01-01-2023",1.17107651686011
"25",25,"Bathurst","01-02-2023",1.07591522157996
"26",26,"Bathurst","01-03-2023",1.09576138147567
"27",27,"Bathurst","01-04-2023",1.09576138147567
"28",28,"Blayney","01-02-2021",0.867080745341614
"29",29,"Blayney","01-03-2021",2.42877061935885
"30",30,"Blayney","01-04-2021",2.21200249532127
"31",31,"Blayney","01-05-2021",5.33346915311913
"32",32,"Blayney","01-06-2021",2.54609348044797
"33",33,"Blayney","01-07-2021",3.3185083921926
"34",34,"Blayney","01-08-2021",2.77053303839018
"35",35,"Blayney","01-09-2021",2.71249213341724
"36",36,"Blayney","01-10-2021",2.82230962869729
"37",37,"Blayney","01-11-2021",3.15321665089877
"38",38,"Blayney","01-12-2021",1.23376410544552
"39",39,"Blayney","01-01-2022",0.793284177430519
"40",40,"Blayney","01-02-2022",0.442191954387076
"41",41,"Blayney","01-03-2022",0.442191954387076
"42",42,"Blayney","01-04-2022",0.802731356693621
"43",43,"Blayney","01-05-2022",0.666242443525294
"44",44,"Blayney","01-06-2022",0.667729591836735
"45",45,"Blayney","01-07-2022",1.33844678811122
"46",46,"Blayney","01-08-2022",2.57158690356198
"47",47,"Blayney","01-09-2022",3.23839254915488
"48",48,"Blayney","01-10-2022",5.14285544896052
"49",49,"Blayney","01-11-2022",6.22560737573525
"50",50,"Blayney","01-12-2022",5.32514444744585
"51",51,"Blayney","01-01-2023",8.10911729502148
"52",52,"Blayney","01-02-2023",3.50991039622927
